,topic,category,content
53,Twitter deal can't move forward until CEO shows proof of spam accounts data: Musk,technology,"Tesla CEO Elon Musk on Tuesday said the Twitter deal cannot move forward until CEO Parag Agrawal shows proof of spam accounts data. Musk wrote, ""20% fake/spam accounts, while 4 times what Twitter claims...My offer was based on Twitter’s SEC filings being accurate...Twitter's CEO publicly refused to show proof of less than 5%. This deal cannot move forward until he does."""
54,Influencer raises ₹1.8 cr for Uber driver who helped her after she was robbed in US,technology,"A social media influencer raised over $2,40,000 (approximately ₹1.8 crore) via crowdfunding for an Uber driver after he helped her when she got robbed in California. The driver had helped her find her phone and credit card which were robbed during Coachella. The driver had revealed to her that his daughter was diagnosed with cancer, following which she started crowdfunding. "
55,We suspend over half a million spam accounts every day: Twitter CEO ,technology,"Twitter CEO Parag Agrawal shared an extensive Twitter thread on spam accounts amid its acquisition deal with Tesla CEO Elon Musk being put on hold. Parag tweeted, ""We suspend over half a million spam accounts every day, usually before any of you even see them on Twitter. We...lock millions of accounts each week that we suspect may be spam."""
56,India should be ready to launch 6G services in 10 years: PM Modi,technology,"PM Narendra Modi has said that India should be ready to launch 6G services in the next 10 years, adding that a task force has already started work on it. The 5G technology will contribute $450 billion to India's economy in the next decade and a half, PM added. He said India is today the ""world's biggest mobile manufacturing hub.""
"
57,"Microsoft to 'nearly double' salaries to retain employees, raises stock option",technology,"Microsoft announced that it will ""nearly double"" its budget for merit-based employee pay increases in order to retain its employees. The company said it will also increase its annual stock options by 25%. In an email to Microsoft employees, CEO Satya Nadella wrote, ""Because of the amazing work you do...we're making long-term investments in each of you."""
58,Twitter doesn't believe in free speech: Senior engineer in leaked recording,technology,"A senior engineer at Twitter has said the company ""doesn't believe in free speech"" and the employees ""hated"" Tesla CEO Elon Musk’s $44 billion takeover bid. An American activist group Project Veritas released a recording of Siru Murugesan's remarks. Murugesan said Twitter's office politics were quite left-leaning and the staff had to change their original views to adjust to it."
59,Bitcoin has no future as a payments network: FTX's billionaire CEO,technology,"Cryptocurrency exchange FTX's 30-year-old billionaire CEO, Sam Bankman-Fried, has said that Bitcoin has no future as a payments network, Financial Times reported. The billionaire also criticised the digital currency for its inefficiency and high environmental costs. Later in a tweet, he clarified, ""To be clear, I also said that it does have potential as a store of value."""
60,"Twitter CEO posts long thread on spam accounts, Musk replies with poop emoji",technology,"Twitter CEO Parag Agrawal on Monday tweeted a long thread on spam accounts amid Tesla CEO Elon Musk’s proposed acquisition being put on hold over fake accounts data. Speaking about Musk’s plan to identify bots, Parag said “We don't believe that this specific estimation can be performed externally”. In reply to this, Musk tweeted a poop emoji.  
"
61,We censor the right and not the left: Twitter's senior engineer in a leaked recording,technology,"In a leaked video recording, a senior engineer at Twitter remarked, “We censor the right and not the left”. Speaking about how differently the company functions from Tesla CEO Elon Musk's firms, Siru Murugesan said, ""We're all commie…He's a capitalist and we weren't really operating as capitalists, more like very socialist.” He claimed employees tried to revolt against Musk's takeover."
62,PM inaugurates IIT Madras-led India's first 5G testbed costing ₹220 crore,technology,Prime Minister Narendra Modi on Tuesday inaugurated India's first 5G testbed developed indigenously in a collaborative project by eight institutes led by IIT Madras. The 5G testbed will enable startups and industry players to test and validate their products locally and reduce dependence on foreign facilities. It has been set up at a cost of around ₹220 crore.
